Order_Date,Year,Quarter,Month,Month_Name,Day,Week_Number,Weekday
2016-01-02,2016,1,1,January,2,53,Saturday
2016-01-08,2016,1,1,January,8,1,Friday
2016-01-11,2016,1,1,January,11,2,Monday
2016-01-27,2016,1,1,January,27,4,Wednesday
2016-03-14,2016,1,3,March,14,11,Monday
2016-05-11,2016,2,5,May,11,19,Wednesday
2016-05-30,2016,2,5,May,30,22,Monday
2016-06-21,2016,2,6,June,21,25,Tuesday
2016-06-26,2016,2,6,June,26,25,Sunday
2016-08-31,2016,3,8,August,31,35,Wednesday
2016-09-03,2016,3,9,September,3,35,Saturday
2016-09-10,2016,3,9,September,10,36,Saturday
2016-09-13,2016,3,9,September,13,37,Tuesday
2016-09-18,2016,3,9,September,18,37,Sunday
2016-09-23,2016,3,9,September,23,38,Friday
2016-09-24,2016,3,9,September,24,38,Saturday
2016-10-04,2016,4,10,October,4,40,Tuesday
2016-10-22,2016,4,10,October,22,42,Saturday
2016-11-14,2016,4,11,November,14,46,Monday
2016-12-01,2016,4,12,December,1,48,Thursday
2016-12-09,2016,4,12,December,9,49,Friday
2017-02-22,2017,1,2,February,22,8,Wednesday
2017-05-20,2017,2,5,May,20,20,Saturday
2017-05-25,2017,2,5,May,25,21,Thursday
2017-06-02,2017,2,6,June,2,22,Friday
2017-06-13,2017,2,6,June,13,24,Tuesday
2017-06-19,2017,2,6,June,19,25,Monday
2017-07-20,2017,3,7,July,20,29,Thursday
2017-07-24,2017,3,7,July,24,30,Monday
2017-08-13,2017,3,8,August,13,32,Sunday
2017-09-17,2017,3,9,September,17,37,Sunday
2017-10-11,2017,4,10,October,11,41,Wednesday
2017-10-28,2017,4,10,October,28,43,Saturday
2017-11-08,2017,4,11,November,8,45,Wednesday
2017-11-24,2017,4,11,November,24,47,Friday
2017-12-20,2017,4,12,December,20,51,Wednesday
2017-12-22,2017,4,12,December,22,51,Friday
2017-12-27,2017,4,12,December,27,52,Wednesday
2017-12-31,2017,4,12,December,31,52,Sunday
2018-01-01,2018,1,1,January,1,1,Monday
2018-01-12,2018,1,1,January,12,2,Friday
2018-02-16,2018,1,2,February,16,7,Friday
2018-02-20,2018,1,2,February,20,8,Tuesday
2018-03-01,2018,1,3,March,1,9,Thursday
2018-04-29,2018,2,4,April,29,17,Sunday
2018-04-30,2018,2,4,April,30,18,Monday
2018-05-03,2018,2,5,May,3,18,Thursday
2018-05-22,2018,2,5,May,22,21,Tuesday
2018-06-04,2018,2,6,June,4,23,Monday
2018-06-09,2018,2,6,June,9,23,Saturday
2018-06-16,2018,2,6,June,16,24,Saturday
2018-07-01,2018,3,7,July,1,26,Sunday
2018-07-30,2018,3,7,July,30,31,Monday
2018-08-03,2018,3,8,August,3,31,Friday
2018-08-08,2018,3,8,August,8,32,Wednesday
2018-08-31,2018,3,8,August,31,35,Friday
2018-09-06,2018,3,9,September,6,36,Thursday
2018-09-12,2018,3,9,September,12,37,Wednesday
2018-11-05,2018,4,11,November,5,45,Monday
2018-12-17,2018,4,12,December,17,51,Monday
2019-01-04,2019,1,1,January,4,1,Friday
2019-01-22,2019,1,1,January,22,4,Tuesday
2019-01-26,2019,1,1,January,26,4,Saturday
2019-01-31,2019,1,1,January,31,5,Thursday
2019-02-17,2019,1,2,February,17,7,Sunday
2019-02-27,2019,1,2,February,27,9,Wednesday
2019-03-03,2019,1,3,March,3,9,Sunday
2019-03-13,2019,1,3,March,13,11,Wednesday
2019-05-06,2019,2,5,May,6,19,Monday
2019-05-20,2019,2,5,May,20,21,Monday
2019-06-09,2019,2,6,June,9,23,Sunday
2019-06-13,2019,2,6,June,13,24,Thursday
2019-06-30,2019,2,6,June,30,26,Sunday
2019-08-07,2019,3,8,August,7,32,Wednesday
2019-08-11,2019,3,8,August,11,32,Sunday
2019-08-20,2019,3,8,August,20,34,Tuesday
2019-10-08,2019,4,10,October,8,41,Tuesday
2019-10-16,2019,4,10,October,16,42,Wednesday
2019-11-02,2019,4,11,November,2,44,Saturday
2019-12-19,2019,4,12,December,19,51,Thursday
2020-01-08,2020,1,1,January,8,2,Wednesday
2020-01-14,2020,1,1,January,14,3,Tuesday
2020-01-17,2020,1,1,January,17,3,Friday
2020-01-19,2020,1,1,January,19,3,Sunday
2020-02-26,2020,1,2,February,26,9,Wednesday
2020-03-16,2020,1,3,March,16,12,Monday
2020-04-27,2020,2,4,April,27,18,Monday
2020-05-08,2020,2,5,May,8,19,Friday
2020-05-22,2020,2,5,May,22,21,Friday
2020-06-09,2020,2,6,June,9,24,Tuesday
2020-08-15,2020,3,8,August,15,33,Saturday
2020-08-19,2020,3,8,August,19,34,Wednesday
2020-10-02,2020,4,10,October,2,40,Friday
2020-10-15,2020,4,10,October,15,42,Thursday
2020-10-21,2020,4,10,October,21,43,Wednesday
2020-11-18,2020,4,11,November,18,47,Wednesday
2020-12-10,2020,4,12,December,10,50,Thursday
2020-12-16,2020,4,12,December,16,51,Wednesday
2020-12-26,2020,4,12,December,26,52,Saturday
2020-12-29,2020,4,12,December,29,53,Tuesday
2021-01-27,2021,1,1,January,27,4,Wednesday
2016-01-23,2016,1,1,January,23,3,Saturday
2016-03-03,2016,1,3,March,3,9,Thursday
2016-03-04,2016,1,3,March,4,9,Friday
2016-04-26,2016,2,4,April,26,17,Tuesday
2016-05-23,2016,2,5,May,23,21,Monday
2016-06-09,2016,2,6,June,9,23,Thursday
2016-06-18,2016,2,6,June,18,24,Saturday
2016-06-20,2016,2,6,June,20,25,Monday
2016-07-01,2016,3,7,July,1,26,Friday
2016-07-13,2016,3,7,July,13,28,Wednesday
2016-07-28,2016,3,7,July,28,30,Thursday
2016-08-28,2016,3,8,August,28,34,Sunday
2016-09-27,2016,3,9,September,27,39,Tuesday
2016-10-05,2016,4,10,October,5,40,Wednesday
2016-10-06,2016,4,10,October,6,40,Thursday
2016-11-19,2016,4,11,November,19,46,Saturday
2016-11-27,2016,4,11,November,27,47,Sunday
2016-12-03,2016,4,12,December,3,48,Saturday
2017-01-05,2017,1,1,January,5,1,Thursday
2017-01-06,2017,1,1,January,6,1,Friday
2017-01-23,2017,1,1,January,23,4,Monday
2017-03-01,2017,1,3,March,1,9,Wednesday
2017-03-07,2017,1,3,March,7,10,Tuesday
2017-05-01,2017,2,5,May,1,18,Monday
2017-05-13,2017,2,5,May,13,19,Saturday
2017-05-19,2017,2,5,May,19,20,Friday
2017-05-30,2017,2,5,May,30,22,Tuesday
2017-07-02,2017,3,7,July,2,26,Sunday
2017-09-02,2017,3,9,September,2,35,Saturday
2017-09-11,2017,3,9,September,11,37,Monday
2017-10-15,2017,4,10,October,15,41,Sunday
2017-11-05,2017,4,11,November,5,44,Sunday
2017-11-20,2017,4,11,November,20,47,Monday
2017-12-10,2017,4,12,December,10,49,Sunday
2018-01-03,2018,1,1,January,3,1,Wednesday
2018-02-10,2018,1,2,February,10,6,Saturday
2018-04-26,2018,2,4,April,26,17,Thursday
2018-05-06,2018,2,5,May,6,18,Sunday
2018-05-16,2018,2,5,May,16,20,Wednesday
2018-06-20,2018,2,6,June,20,25,Wednesday
2018-07-17,2018,3,7,July,17,29,Tuesday
2018-07-28,2018,3,7,July,28,30,Saturday
2018-08-23,2018,3,8,August,23,34,Thursday
2018-09-01,2018,3,9,September,1,35,Saturday
2018-09-27,2018,3,9,September,27,39,Thursday
2018-10-26,2018,4,10,October,26,43,Friday
2018-11-28,2018,4,11,November,28,48,Wednesday
2018-12-08,2018,4,12,December,8,49,Saturday
2018-12-09,2018,4,12,December,9,49,Sunday
2019-01-28,2019,1,1,January,28,5,Monday
2019-02-03,2019,1,2,February,3,5,Sunday
2019-02-08,2019,1,2,February,8,6,Friday
